transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,11/5/2022,10:47:00,117,Male,41,Clothing,3,300,129,900
522,7/9/2022,11:00:00,52,Male,46,Beauty,3,500,145,1500
559,12/12/2022,10:48:00,5,Female,40,Clothing,4,300,84,1200
1180,1/6/2022,8:53:00,85,Male,41,Clothing,3,300,129,900
1522,11/14/2022,8:35:00,48,Male,46,Beauty,3,500,235,1500
1559,8/20/2022,7:40:00,49,Female,40,Clothing,4,300,144,1200
163,10/31/2022,9:38:00,144,Female,64,Clothing,3,50,23,150
303,4/22/2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90
421,4/8/2022,8:43:00,66,Female,37,Clothing,3,500,235,1500
979,5/18/2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25
1163,5/4/2022,10:52:00,120,Female,64,Clothing,3,50,27,150
1303,3/19/2022,8:59:00,58,Male,19,Electronics,3,30,15,90
1421,1/17/2022,7:07:00,59,Female,37,Clothing,3,500,185,1500
1979,8/17/2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25
610,12/18/2022,6:56:00,137,Female,26,Beauty,2,300,93,600
1610,11/23/2022,10:18:00,1,Female,26,Beauty,2,300,102,600
32,7/16/2022,9:11:00,150,Male,30,Beauty,3,30,8.4,90
231,7/9/2022,7:02:00,50,Female,23,Clothing,3,50,26.5,150
683,3/6/2022,10:22:00,82,Male,38,Beauty,2,500,175,1000
1032,4/1/2022,8:15:00,1,Male,30,Beauty,3,30,10.5,90
1231,1/29/2022,7:05:00,12,Female,23,Clothing,3,50,23,150
1683,5/4/2022,7:19:00,98,Male,38,Beauty,2,500,220,1000
367,12/30/2022,7:03:00,123,Female,57,Electronics,1,50,18,50
391,3/25/2022,7:37:00,68,Male,19,Beauty,2,25,6.25,50
432,3/10/2022,11:31:00,17,Female,,Electronics,2,500,190,1000
1367,4/15/2022,11:38:00,16,Female,,Electronics,1,50,15.5,50
1391,3/1/2022,11:29:00,130,Male,,Beauty,2,25,9.25,50
1432,12/25/2022,6:24:00,67,Female,,Electronics,2,500,245,1000
150,4/13/2022,8:25:00,89,Female,,Electronics,4,30,16.2,120
845,10/27/2022,10:12:00,25,Male,,Clothing,1,500,145,500
1150,8/22/2022,10:04:00,77,Female,,Electronics,4,30,10.2,120
1845,5/24/2022,7:06:00,94,Male,,Clothing,1,500,185,500
797,9/16/2022,6:38:00,116,Male,,Clothing,3,25,10.75,75
921,9/28/2022,9:34:00,101,Male,,Electronics,3,25,8,75
1797,4/16/2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75
1921,2/8/2022,7:01:00,77,Male,51,Electronics,3,25,7.5,75
291,11/22/2022,8:29:00,15,Male,60,Clothing,2,300,126,600
907,9/2/2022,6:16:00,145,Female,45,Electronics,1,25,8.5,25
1291,4/4/2022,11:19:00,72,Male,60,Clothing,2,300,153,600
1907,11/17/2022,11:21:00,115,Female,45,Electronics,1,25,9,25
860,4/11/2022,8:58:00,85,Male,63,Clothing,4,50,16,200
1860,3/12/2022,11:21:00,57,Male,63,Clothing,4,50,18,200
184,2/13/2022,6:44:00,128,Male,31,Electronics,4,50,17,200
734,3/12/2022,8:54:00,77,Female,27,Clothing,1,30,15.6,30
1184,2/12/2022,8:28:00,23,Male,31,Electronics,4,50,27.5,200
1734,2/28/2022,8:58:00,72,Female,27,Clothing,1,30,14.4,30
225,3/5/2022,7:37:00,85,Female,57,Beauty,4,25,12.75,100
1679,9/23/2022,8:08:00,71,Female,18,Beauty,3,30,15.3,90
1746,6/13/2022,7:59:00,88,Female,33,Clothing,3,30,10.8,90
3,6/14/2022,7:08:00,114,Male,50,Electronics,1,30,8.1,30
464,3/6/2022,11:13:00,24,Male,38,Electronics,2,300,75,600
484,3/13/2022,7:52:00,135,Female,19,Clothing,4,300,75,1200
591,3/21/2022,8:38:00,94,Male,53,Electronics,4,25,6.5,100
1003,1/26/2022,7:59:00,80,Male,50,Electronics,1,30,15.9,30
1464,11/13/2022,10:06:00,80,Male,38,Electronics,2,300,126,600
1484,11/23/2022,9:29:00,22,Female,19,Clothing,4,300,147,1200
1591,9/29/2022,11:00:00,62,Male,53,Electronics,4,25,7,100
21,7/11/2022,7:33:00,59,Female,50,Beauty,1,500,275,500
708,4/6/2022,8:38:00,62,Female,43,Beauty,3,300,87,900
713,4/16/2022,11:43:00,39,Male,34,Beauty,3,25,11.25,75
768,6/27/2022,6:50:00,58,Female,24,Beauty,3,25,10.5,75
1021,6/11/2022,10:19:00,44,Female,50,Beauty,1,500,155,500
1708,2/8/2022,7:47:00,41,Female,43,Beauty,3,300,162,900
1713,10/3/2022,10:10:00,90,Male,34,Beauty,3,25,10.75,75
1768,7/31/2022,9:52:00,85,Female,24,Beauty,3,25,8.75,75
499,4/3/2022,10:52:00,15,Male,46,Beauty,2,30,16.5,60
697,12/25/2022,7:52:00,152,Male,53,Clothing,1,500,200,500
831,11/30/2022,11:49:00,149,Male,27,Electronics,4,25,13.75,100
1499,9/23/2022,9:46:00,3,Male,46,Beauty,2,30,11.7,60
1697,12/18/2022,8:22:00,54,Male,53,Clothing,1,500,265,500
1831,3/26/2022,10:54:00,80,Male,27,Electronics,4,25,6.5,100
15,7/1/2022,11:50:00,75,Female,42,Electronics,4,500,210,2000
743,8/7/2022,7:54:00,55,Female,34,Beauty,4,500,260,2000
1015,3/9/2022,11:53:00,94,Female,42,Electronics,4,500,200,2000
1743,10/26/2022,9:37:00,47,Female,34,Beauty,4,500,250,2000
14,5/18/2022,7:11:00,8,Male,64,Clothing,4,30,13.2,120
103,11/12/2022,10:05:00,33,Female,59,Clothing,1,25,10.75,25
238,5/10/2022,11:52:00,20,Female,39,Beauty,1,500,150,500
986,8/1/2022,9:35:00,65,Female,49,Clothing,2,500,200,1000
1014,2/4/2022,10:26:00,147,Male,64,Clothing,4,30,11.4,120
1103,2/14/2022,7:11:00,61,Female,59,Clothing,1,25,6.75,25
1238,9/17/2022,7:38:00,129,Female,39,Beauty,1,500,165,500
1986,9/14/2022,8:28:00,29,Female,49,Clothing,2,500,145,1000
438,8/31/2022,10:15:00,88,Female,42,Clothing,1,30,15.9,30
1438,1/7/2022,10:00:00,72,Female,42,Clothing,1,30,13.8,30
475,8/12/2022,10:39:00,78,Male,26,Clothing,3,25,9,75
505,12/17/2022,7:25:00,86,Male,24,Beauty,1,50,19.5,50
1475,10/4/2022,7:03:00,132,Male,26,Clothing,3,25,10.75,75
1505,10/30/2022,8:00:00,98,Male,24,Beauty,1,50,14.5,50
344,7/17/2022,9:47:00,69,Female,42,Beauty,1,30,7.5,30
448,3/19/2022,9:36:00,86,Female,54,Beauty,2,30,16.2,60
742,3/19/2022,6:08:00,37,Female,38,Electronics,4,500,195,2000
1344,12/18/2022,6:12:00,144,Female,42,Beauty,1,30,11.1,30
1448,5/16/2022,6:28:00,51,Female,54,Beauty,2,30,9.3,60
1742,11/22/2022,8:25:00,18,Female,38,Electronics,4,500,220,2000
445,4/14/2022,10:48:00,132,Female,53,Electronics,1,300,138,300
787,6/10/2022,10:42:00,25,Male,41,Electronics,1,25,13.75,25
1445,4/19/2022,6:16:00,31,Female,53,Electronics,1,300,129,300
1787,5/30/2022,7:42:00,104,Male,41,Electronics,1,25,10,25
49,9/17/2022,10:33:00,37,Female,54,Electronics,2,500,255,1000
420,1/2/2022,10:53:00,28,Female,22,Clothing,4,500,200,2000
519,4/8/2022,10:17:00,52,Female,36,Electronics,4,30,16.5,120
1049,5/16/2022,6:36:00,143,Female,54,Electronics,2,500,125,1000
1420,4/15/2022,7:01:00,138,Female,22,Clothing,4,500,205,2000
1519,1/8/2022,7:35:00,139,Female,36,Electronics,4,30,9.3,120
64,11/15/2022,6:34:00,7,Male,49,Clothing,4,25,8.5,100
592,12/26/2022,9:15:00,77,Female,46,Beauty,4,500,275,2000
912,10/31/2022,6:18:00,122,Male,51,Beauty,3,50,20.5,150
1064,4/14/2022,10:38:00,49,Male,49,Clothing,4,25,13.75,100
1592,3/16/2022,9:08:00,81,Female,46,Beauty,4,500,155,2000
1912,5/27/2022,7:40:00,146,Male,51,Beauty,3,50,22,150
134,8/25/2022,9:03:00,132,Male,49,Electronics,1,50,16,50
1134,8/5/2022,9:04:00,106,Male,49,Electronics,1,50,24,50
